community_area,disposable_income,discretionary_consumption,accessibility,decision_rationale,vote,rank1,rank2,rank3,rank4,rank5
Jefferson Park,"Jefferson Park has a relatively high median household income of $90,740 and a per capita income of $42,024, indicating a moderate to high level of disposable income.","With a significant portion of households earning over $100,000, the community has a good capacity for discretionary spending. However, 27% of households earn less than $50,000, which suggests that affordability is still a concern for a notable segment of the population.","The majority of residents drive alone (61.7%), with only 13.4% using transit. Car ownership is high, with 90.2% of households owning at least one vehicle. This suggests that while transit improvements are beneficial, policies should not overly burden drivers.","Given the high car ownership and preference for driving, policies that significantly increase driving costs are less favorable. However, improving transit times and affordability is important for the 13.4% who rely on it. Balancing a moderate sales tax with lower transit fares and reasonable driving fees will support transit improvements without overly burdening residents. The selected policies aim to reduce travel times for both modes while maintaining affordability, especially for lower-income households.","[10, 13, 19, 22, 11]",10,13,19,22,11
Forest Glen,"Forest Glen has a high median income of $139,046 and a per capita income of $70,693, indicating a relatively high level of disposable income. A significant portion of households earn $150,000 and over, suggesting that the community can absorb moderate increases in taxes or fees without significant financial strain.","With a high income level, residents likely have substantial discretionary spending. However, they may still be sensitive to changes in costs that could affect their lifestyle, such as increased transit fares or driving fees.","The majority of residents drive alone (57.9%), with a smaller percentage using transit (10.5%). This suggests that while transit improvements could benefit some, policies that maintain or improve driving conditions are also important. The community has a high rate of car ownership, with 44.1% owning two vehicles and 18.2% owning three or more.","Given the high income and car ownership, policies that slightly increase costs but significantly improve transit times and reduce driving times are favorable. A moderate sales tax increase is acceptable if it leads to better transit services, as the community can afford it. Reducing driving time is also crucial due to the high percentage of residents who drive alone. Therefore, proposals that balance these factors by improving transit and driving conditions while keeping costs reasonable are prioritized.","[14, 11, 13, 10, 19]",14,11,13,10,19
North Park,"North Park has a median income of $74,649 and a per capita income of $37,156. A significant portion of the population earns over $100,000, indicating a relatively high disposable income compared to other areas.","With a substantial portion of the population earning above $100,000, there is likely a higher level of discretionary consumption. However, 34.3% of households earn less than $50,000, indicating a need to balance affordability for lower-income residents.","55.6% of residents drive alone, while 17.5% use transit. The mean commute time is 34 minutes, suggesting a need for efficient transit options. Car ownership is high, with 85.4% of households having at least one vehicle, but 14.6% have no vehicle, highlighting the importance of affordable transit options.","Given the high car ownership and significant use of transit, policies that improve transit efficiency and affordability are prioritized. Lower fares and moderate driver fees can encourage transit use without overly burdening drivers. A moderate sales tax is acceptable given the community's income levels, as it supports better transit services. The selected policies aim to reduce travel times and costs for both drivers and transit users, balancing the needs of different income groups.","[11, 14, 13, 10, 19]",11,14,13,10,19
Albany Park,"Albany Park has a diverse income distribution with a significant portion of households earning between $25,000 and $149,999. The community has a relatively balanced income distribution, with a notable percentage of high-income households ($150,000+). This suggests a moderate to high level of disposable income for many residents.","Given the income distribution, many households in Albany Park likely have discretionary income to spend on non-essential goods and services. However, a portion of the population earns less than $50,000, indicating that affordability is still a concern for some residents.","Albany Park has a high percentage of residents using transit (23.7%) and a significant number of households without a vehicle (19.1%). This indicates a strong reliance on public transportation. The community also has a substantial number of residents who drive alone (45.5%), suggesting that both transit and driving are important modes of transportation.","Given the reliance on public transit and the need for affordability, proposals with lower transit fares and moderate driver fees are prioritized. A lower sales tax is preferred to minimize the impact on discretionary consumption. Proposals that improve transit times without significantly increasing costs are favored. The community's diverse income distribution and reliance on both transit and driving are key factors in the decision-making process.","[10, 13, 19, 22, 11]",10,13,19,22,11
Portage Park,"Portage Park has a median income of $85,473 and a per capita income of $38,488. A significant portion of the population earns over $100,000, indicating a relatively high disposable income compared to other areas.","With a substantial portion of the population earning over $100,000, there is likely a higher level of discretionary consumption. However, 30.8% of households earn less than $50,000, indicating a need to balance affordability for lower-income residents.","62.9% of residents drive alone, and 14% use transit. The mean commute time is 37.1 minutes, suggesting a reliance on both driving and transit. Improving transit times could benefit a significant portion of the community, but driving remains the dominant mode.","Given the high car ownership and reliance on driving, policies that reduce driving time and cost are favorable. However, improving transit times and maintaining affordability for lower-income residents is also important. A balance between transit improvements and minimal increases in driving costs is ideal. Lower sales tax rates are preferred to maintain discretionary spending, while moderate fare and driver fees can improve transit without overly burdening residents.","[10, 13, 4, 19, 22]",10,13,4,19,22
Irving Park,"Irving Park has a relatively high median income of $86,849 and a per capita income of $48,320. A significant portion of the population earns over $100,000, indicating a good level of disposable income.","With a substantial portion of the population earning over $100,000, there is likely a higher level of discretionary spending. However, 28.6% of households earn less than $50,000, which means affordability is still a concern for a significant segment.","49.6% of residents drive alone, and 18.5% use transit, indicating a reliance on both modes. The community has a moderate level of car ownership, with 13.9% having no vehicle, suggesting the importance of affordable and efficient transit options.","Given the community's income distribution and transportation preferences, the focus is on balancing affordability with improved transit services. Lower fares and moderate driver fees can encourage transit use without overly burdening lower-income residents. A moderate sales tax is acceptable given the community's income levels, as it supports better transit services. The selected proposals aim to reduce travel times and costs for both drivers and transit users, while also considering the environmental benefits of reduced congestion.","[11, 14, 13, 10, 19]",11,14,13,10,19
Dunning,"Dunning has a relatively high percentage of households earning over $100,000, with 41.1% of households in this bracket. This suggests a moderate to high level of disposable income, allowing for some flexibility in absorbing additional costs from transportation policies.","With a significant portion of the population earning above $100,000, discretionary spending is likely robust. However, the community still has a notable percentage (29.3%) earning below $50,000, indicating that cost increases could impact a substantial minority.","The majority of residents (72.1%) drive alone, indicating a strong reliance on personal vehicles. Only 7.3% use transit, suggesting that improvements in transit could benefit a small but potentially growing segment of the population. Car ownership is high, with 93.7% of households owning at least one vehicle.","Given the high reliance on driving, policies that reduce driving time and improve transit could be beneficial. However, the community's relatively high income allows for some flexibility in absorbing higher costs. A balance between improving transit and maintaining reasonable costs is crucial. Policies with moderate taxes and fees that significantly reduce travel times are prioritized. The community's high car ownership and preference for driving suggest that policies with higher driver fees might be less favorable unless they offer substantial benefits in terms of reduced congestion and improved transit times.","[11, 14, 13, 10, 19]",11,14,13,10,19
Montclare,"The median income in Montclare is $69,038, with a per capita income of $33,574. A significant portion of the population earns less than $50,000, indicating a need to consider affordability in transportation costs.","With 20.3% of households earning less than $25,000, affordability is crucial. The community's spending on transportation should not significantly impact their ability to afford other necessities.","Montclare has a high rate of car ownership, with 74.9% driving alone to work. Only 4.4% use transit, suggesting that improvements in transit could benefit the community by providing more options and potentially reducing congestion.","Given the high car ownership and reliance on driving, policies that reduce driving time and costs are favorable. However, improving transit options is also important to provide alternatives and reduce congestion. Balancing lower fares and moderate taxes with reasonable driving fees can enhance transit services without overly burdening residents financially. The selected policies aim to improve transit times and maintain affordability, considering the community's income distribution and current transportation habits.","[11, 14, 13, 10, 19]",11,14,13,10,19
Belmont Cragin,"The community has a significant portion of households earning less than $50,000, with 18.2% earning less than $25,000 and 24.7% earning between $25,000 and $49,999. This suggests a moderate to low disposable income for a large segment of the population.","Given the income distribution, a substantial portion of the community's income is likely allocated to essential expenses, leaving limited room for discretionary spending. Any increase in transportation costs could significantly impact their budget.","With 57.7% of residents driving alone and 15.3% using transit, both modes of transportation are important. However, a notable 15.7% of households do not own a vehicle, indicating a reliance on public transit. Improving transit accessibility and affordability is crucial for these residents.","The decision prioritizes policies that balance affordability with improved transit services. Lower fares and moderate driver fees are preferred to encourage transit use without overly burdening drivers. A lower sales tax is favored to minimize the impact on discretionary spending. The selected policies aim to reduce travel times and costs for both transit users and drivers, while considering the community's income constraints and transportation needs.","[10, 11, 13, 19, 22]",10,11,13,19,22
Hermosa,"The median income in Hermosa is $66,073, with a per capita income of $27,053. A significant portion of the population earns between $25,000 and $74,999, indicating moderate disposable income levels.","With 37.7% of households earning less than $50,000, there is a need to balance transportation costs with other essential expenses. The community may be sensitive to increases in transit fares and taxes.","60.9% of residents drive alone, while 17.7% use transit. Car ownership is relatively high, with only 12.5% of households without a vehicle. This suggests a reliance on both driving and transit, with a need for efficient and affordable options.","Given the moderate income levels and reliance on both driving and transit, the community would benefit from policies that reduce travel time and costs without significantly increasing taxes. Lower fares and moderate driver fees can encourage transit use, reduce congestion, and improve accessibility. The selected policies aim to balance these factors, prioritizing lower fares and moderate driver fees to enhance transit services while keeping costs manageable for residents.","[10, 11, 19, 20, 13]",10,11,19,20,13
Avondale,"Avondale has a diverse income distribution with a significant portion of households earning above $100,000, indicating a relatively high disposable income for many residents. However, there is also a notable percentage of households earning less than $50,000, suggesting income disparity.","With a substantial portion of the population earning above $100,000, discretionary consumption is likely robust for many households. However, the presence of lower-income households means that affordability of transportation options remains important.","Avondale has a mix of transportation modes with nearly half of the population driving alone and a significant portion using transit. The community's accessibility to resources and services is supported by both driving and transit options, but improvements in transit could benefit those without vehicles.","Given the income diversity, it's important to balance affordability with improved transit services. Lower fares and moderate taxes are preferred to support lower-income residents while still enhancing transit. Proposals with higher driver fees are considered to encourage transit use and reduce congestion, benefiting the community's overall accessibility. The selected proposals aim to reduce travel times and improve transit affordability while considering the impact of taxes on discretionary spending.","[11, 14, 13, 10, 19]",11,14,13,10,19
Logan Square,"Logan Square has a relatively high median income of $97,759 and a per capita income of $62,532. A significant portion of the population earns over $100,000, indicating a good level of disposable income.","With a high income level, residents likely have a higher capacity for discretionary spending. However, a notable portion of the population earns less than $50,000, so affordability remains a concern for some households.","Logan Square has a diverse mode of transportation usage with 26.5% using transit and 36.6% driving alone. The community has a significant number of households without vehicles (21.2%), indicating a reliance on public transit.","Given the high reliance on transit and the significant number of households without vehicles, improving transit service is crucial. However, affordability must be balanced with service improvements. A lower fare and moderate tax and driving fee can enhance transit accessibility without overly burdening residents. Proposals with lower fares and moderate driving fees are prioritized to encourage transit use and reduce congestion, while keeping costs manageable for lower-income residents.","[10, 11, 13, 14, 19]",10,11,13,14,19
Humboldt Park,"Humboldt Park has a median household income of $51,105 and a per capita income of $25,358. A significant portion of the population earns less than $50,000, indicating limited disposable income for many residents.","With 49% of households earning less than $50,000, discretionary spending is likely constrained. High transit fares or driver fees could significantly impact these households' budgets.","25% of households do not own a vehicle, and 20.1% of residents use transit to commute. Improving transit accessibility and affordability is crucial for this community. The mean commute time is 35.7 minutes, suggesting a need for efficient transit options.","Given the community's limited disposable income and reliance on public transit, policies with lower transit fares and moderate driver fees are prioritized to enhance affordability and accessibility. A lower sales tax is preferred to minimize the impact on discretionary spending. Reducing car travel time is also beneficial, but not at the expense of significantly higher costs. Therefore, proposals with a balance of lower fares, moderate driver fees, and reasonable travel times are prioritized.","[10, 11, 19, 20, 13]",10,11,19,20,13
West Town,"West Town has a high median income of $128,717 and a per capita income of $82,088, indicating a relatively affluent community with significant disposable income.","With 43.9% of households earning $150,000 and over, the community has a high capacity for discretionary spending. However, a significant portion of the population (9.8%) earns less than $25,000, suggesting some income diversity.","West Town has a diverse mode of transportation usage with 23.2% using transit and 35.1% driving alone. The community also has a high percentage of residents working from home (26.3%), reducing daily commuting needs. Car ownership is moderate, with 20.2% of households having no vehicle.","Given the high income levels, the community can absorb moderate increases in taxes and fees. However, the presence of lower-income residents necessitates consideration of affordable transit options. The community values efficient transit and reduced congestion, as evidenced by the significant use of transit and the desire to maintain or improve travel times. Therefore, proposals that balance lower transit fares with moderate taxes and driving fees, while improving travel times, are prioritized. Proposals with higher taxes are less favored due to their impact on discretionary spending, despite the community's overall affluence.","[11, 14, 13, 10, 19]",11,14,13,10,19
Austin,"The median income in Austin is $40,086, with a significant portion of the population earning less than $25,000. This indicates limited disposable income, making cost-sensitive policies more favorable.","With a per capita income of $23,403, residents have limited discretionary spending. High transit fares or driver fees could significantly impact their ability to spend on other necessities.",Austin has a high percentage of residents without vehicles (30.6%) and a significant reliance on public transit (23.7%). Improving transit accessibility and affordability is crucial for this community.,"Given the limited disposable income and high reliance on public transit, policies with lower transit fares and moderate driver fees are prioritized. A lower sales tax is also preferred to minimize the impact on discretionary consumption. The goal is to enhance transit accessibility while keeping costs manageable for residents. Policies that reduce travel time for both transit and driving are also considered to improve overall accessibility.","[10, 11, 19, 20, 13]",10,11,19,20,13
West Garfield Park,"West Garfield Park has a median income of $36,360 and a per capita income of $18,503, with a significant portion of the population earning less than $25,000. This indicates limited disposable income, making cost-sensitive policies crucial.","With 42.2% of households earning less than $25,000, discretionary spending is likely constrained. Policies that minimize additional financial burdens, such as low fares and taxes, are preferable.","38.7% of households have no vehicle, and 27.9% of residents use transit. Improving transit accessibility and affordability is essential, as a significant portion of the community relies on public transportation.","Given the community's low income and high reliance on public transit, policies with lower fares and moderate taxes are prioritized to enhance affordability and accessibility. Reducing travel time is also important, but not at the expense of significantly higher costs. Therefore, proposals with lower fares and moderate driver fees, which can improve transit services and reduce congestion, are favored. The selected policies balance cost, accessibility, and service improvement.","[10, 11, 19, 20, 13]",10,11,19,20,13
East Garfield Park,"East Garfield Park has a median income of $31,762 and a per capita income of $20,343. A significant portion of the population (43.7%) earns less than $25,000, indicating limited disposable income.","With a large percentage of the population earning below $25,000, discretionary spending is likely constrained. High transit fares or driver fees could significantly impact the community's ability to spend on other necessities.","40% of households do not own a vehicle, and 25% of the population uses transit. Improving transit accessibility and affordability is crucial for this community. The mean commute time is 35.1 minutes, suggesting a need for efficient transit options.","Given the limited disposable income and high reliance on public transit, policies with lower transit fares and moderate driver fees are prioritized to enhance affordability and accessibility. A lower sales tax is preferred to minimize the impact on discretionary spending. The community benefits from reduced car travel times and improved transit efficiency, but affordability remains a key concern. Therefore, proposals with a balance of lower fares and moderate fees are ranked higher.","[10, 11, 19, 20, 13]",10,11,19,20,13
Near West Side,"The Near West Side has a relatively high median income of $106,955 and a per capita income of $72,602. A significant portion of the population earns over $150,000, indicating a community with substantial disposable income.","With a high income distribution, residents likely have more flexibility in their spending. However, 17.9% of the population earns less than $25,000, suggesting that affordability of transit fares and fees is still a concern for a portion of the community.","The community has a diverse mode of transportation usage: 18.1% use transit, 30.7% drive alone, and 24.1% walk or bike. A significant portion of households (34.3%) do not own a vehicle, indicating a reliance on public transit and non-motorized modes.","Given the high income levels, the community can afford a moderate increase in sales tax and transit fares if it results in better services. However, the reliance on public transit and non-motorized modes suggests that improving transit times is crucial. Proposals with lower transit fares and moderate driver fees are preferred to encourage transit use and reduce congestion. The community's high income allows for some flexibility in accepting higher taxes if it leads to significant improvements in transit services.","[11, 14, 13, 10, 19]",11,14,13,10,19
North Lawndale,"North Lawndale has a median income of $33,334 and a per capita income of $21,201. A significant portion of the population earns less than $25,000, indicating limited disposable income.","With 42.3% of households earning less than $25,000, discretionary spending is likely constrained. Any increase in transportation costs could significantly impact the community's ability to spend on other necessities.","23.7% of residents use transit, and 36.5% of households do not own a vehicle, indicating a reliance on public transportation. Improving transit times and maintaining low fares are crucial for accessibility.","Given the community's limited disposable income and reliance on public transit, the priority is to minimize costs while improving transit efficiency. Lower fares and moderate taxes are preferred to ensure affordability. Proposals with higher driver fees are considered to encourage a shift from driving to transit, reducing congestion and emissions. The selected proposals balance these factors, aiming to improve transit times without significantly increasing costs for residents.","[11, 10, 19, 13, 14]",11,10,19,13,14
South Lawndale,"South Lawndale has a median household income of $42,010 and a per capita income of $18,001, indicating limited disposable income. A significant portion of the population earns less than $50,000, which suggests that affordability is a key concern for the community.","With a large percentage of households earning below $50,000, discretionary spending is likely constrained. High transit fares or driver fees could significantly impact the community's ability to spend on other necessities.","A majority of residents drive alone (56.5%), but a notable portion (15.3%) relies on transit. Improving transit times and affordability could benefit those who depend on public transportation, while also potentially reducing congestion for drivers.","Given the community's limited disposable income, policies with lower fares and taxes are preferred to minimize financial burden. However, improving transit times is also important to enhance accessibility. Balancing these factors, the top choices prioritize lower fares and moderate taxes, with some driver fees to encourage transit use and reduce congestion. The selected policies aim to improve transit times without significantly increasing costs for residents.","[10, 11, 19, 20, 13]",10,11,19,20,13
Lower West Side,"The median income is $69,810, with a per capita income of $36,151. A significant portion of the population earns less than $50,000, indicating a need to consider affordability in transportation costs.","With 18.4% earning less than $25,000 and 19.3% earning between $25,000 and $49,999, a large segment of the community may have limited discretionary spending. Thus, lower transit fares and minimal additional taxes are preferable.","24.5% of residents use transit, and 23.8% have no vehicle, highlighting the importance of affordable and efficient public transit. The community also has a significant number of car owners, with 43.8% driving alone, so policies should balance transit improvements with reasonable driving costs.","Given the community's income distribution and reliance on both transit and driving, the ideal policy would lower transit fares to make it more accessible while not significantly increasing the cost of driving. A moderate sales tax is acceptable if it results in better transit services, as long as it doesn't overly burden lower-income households. The selected policies aim to reduce travel times and costs for both transit users and drivers, while considering the community's financial constraints.","[10, 13, 19, 22, 25]",10,13,19,22,25
Loop,"The Loop is a central business district with a mix of high-income professionals and lower-income service workers. Disposable income varies significantly, but overall, the area has a relatively high average income.","Residents in the Loop have a high level of discretionary consumption due to the presence of numerous dining, entertainment, and shopping options. However, the cost of living is also high, which affects disposable income.","The Loop has excellent accessibility to resources and services, with extensive public transit options including buses and trains. Walking and biking are also viable options due to the area's dense urban environment.","Given the Loop's high accessibility to public transit and the mixed income levels, the focus is on maintaining or improving transit services while considering the impact on disposable income. Lower transit fares and moderate driver fees are preferred to encourage public transit use and reduce congestion. A moderate sales tax is acceptable if it significantly improves transit services. The top-ranked proposals balance these factors by offering reduced travel times and costs for transit users, while also considering the impact on drivers and overall tax burden.","[11, 14, 13, 10, 19]",11,14,13,10,19
Near South Side,"The Near South Side has a high median household income of $124,558 and a per capita income of $94,087, indicating a relatively affluent community with significant disposable income.","With 43.7% of households earning $150,000 and over, the community likely has a high level of discretionary consumption. However, 12.9% of households earn less than $25,000, suggesting some income disparity.","The community has a balanced mode of transportation with 41.9% driving alone and 22.7% using transit. A significant portion of the population works from home (22.7%), reducing daily transportation needs. Car ownership is moderate, with 22.4% of households having no vehicle.","Given the high disposable income, the community can afford higher transit fares and driver fees if they result in better services and reduced travel times. The community values efficient transit options, as evidenced by the significant use of public transit. A lower sales tax is preferred to maintain discretionary spending. The top-ranked proposals prioritize reducing travel times for both transit and driving, while balancing costs to ensure affordability for lower-income residents.","[11, 14, 19, 22, 25]",11,14,19,22,25
Armour Square,"A significant portion of the community, 31.1%, earns less than $25,000, indicating limited disposable income. The majority of households fall into lower to middle-income brackets, suggesting sensitivity to increases in costs such as transit fares and sales taxes.","With a large percentage of the population in lower income brackets, discretionary spending is likely limited. Increases in transit fares, sales taxes, or driving fees could significantly impact the ability of residents to spend on other necessities.","A notable 24.4% of residents use transit, and 33.9% do not own a vehicle, indicating a reliance on public transportation. Improving transit times and maintaining affordable fares are crucial for accessibility. Additionally, 41.1% drive alone, so driving fees and travel times are also important considerations.","Given the community's reliance on transit and limited disposable income, proposals with lower transit fares and moderate sales taxes are prioritized. Reducing travel times for both transit and driving is also important. Balancing these factors, proposals that offer improved transit times without significantly increasing costs are preferred. The community's high percentage of transit users and non-vehicle owners suggests a need to prioritize transit accessibility and affordability.","[11, 10, 13, 14, 19]",11,10,13,14,19
Douglas,"The median income in Douglas is $43,528, with a significant portion of the population earning less than $25,000. This suggests limited disposable income, making cost-sensitive policies more favorable.","With a high percentage of households earning less than $50,000, discretionary spending is likely constrained. Policies that minimize additional costs, such as lower fares and taxes, would be beneficial.","44.4% of households do not own a vehicle, and 26.4% of residents use transit. Improving transit accessibility and affordability is crucial for this community, as many rely on public transportation.","Given the high reliance on public transit and limited disposable income, policies with lower transit fares and moderate taxes are prioritized. Reducing travel time is also important, but not at the expense of significantly higher costs. The community would benefit from policies that balance affordability with improved transit services, encouraging a shift from driving to transit to reduce congestion and emissions.","[10, 11, 19, 20, 13]",10,11,19,20,13
